BillNo,Itemname,Quantity,Date,Price,CustomerID,Country
536387,CHILLI LIGHTS,192,12/1/2010 9:58,3.82,16029,United Kingdom
536387,LIGHT GARLAND BUTTERFILES PINK,192,12/1/2010 9:58,3.37,16029,United Kingdom
536387,WOODEN OWLS LIGHT GARLAND,192,12/1/2010 9:58,3.37,16029,United Kingdom
536477,BLACK RECORD COVER FRAME,480,12/1/2010 12:27,3.39,16210,United Kingdom
536581,JUMBO BAG RED RETROSPOT,200,12/1/2010 16:19,1.65,13777,United Kingdom
536584,RED WOOLLY HOTTIE WHITE HEART.,384,12/1/2010 16:22,2.95,13777,United Kingdom
536784,ROTATING SILVER ANGELS T-LIGHT HLDR,240,12/2/2010 15:20,1.88,15061,United Kingdom
536969,COLOUR GLASS. STAR T-LIGHT HOLDER,192,12/3/2010 13:10,2.75,16013,United Kingdom
537235,LUNCH BOX I LOVE LONDON,324,12/6/2010 9:45,1.65,17381,United Kingdom
537256,BLACK RECORD COVER FRAME,480,12/6/2010 11:06,3.39,16210,United Kingdom
537456,HEART OF WICKER SMALL,402,12/7/2010 9:43,1.93,17450,United Kingdom
537456,HEART OF WICKER LARGE,378,12/7/2010 9:43,3.21,17450,United Kingdom
537476,JUMBO BAG RED RETROSPOT,300,12/7/2010 11:26,1.65,15838,United Kingdom
537509,HAND WARMER BIRD DESIGN,192,12/7/2010 11:41,1.85,13756,United Kingdom
537657,WOOD BLACK BOARD ANT WHITE FINISH,408,12/7/2010 16:42,4.78,18102,United Kingdom
537657,CREAM HEART CARD HOLDER,972,12/7/2010 16:42,2.31,18102,United Kingdom
537657,BLACK HEART CARD HOLDER,972,12/7/2010 16:42,2.31,18102,United Kingdom
537657,VINTAGE UNION JACK MEMOBOARD,408,12/7/2010 16:42,6.38,18102,United Kingdom
537659,MEMO BOARD RETROSPOT  DESIGN,208,12/7/2010 16:43,3.86,18102,United Kingdom
537659,CREAM HEART CARD HOLDER,1008,12/7/2010 16:43,2.31,18102,United Kingdom
537659,BLACK HEART CARD HOLDER,1008,12/7/2010 16:43,2.31,18102,United Kingdom
